SN,MON DESC,month_no,year,total,new added,active,inactive
1,14-Jan,1,2014,323032,0,0,0
2,14-Feb,2,2014,333829,10797,0,0
3,14-Mar,3,2014,341332,7503,2764,2551
4,14-Apr,4,2014,351344,10012,13397,4720
5,14-May,5,2014,360966,9622,16842,3282
6,14-Jun,6,2014,375975,15009,8670,3791
7,14-Jul,7,2014,381870,5895,15192,3487
8,14-Aug,8,2014,391221,9351,8977,3626
9,14-Sep,9,2014,399423,8202,9308,9415
10,14-Oct,10,2014,410928,11505,13506,6022
11,14-Nov,11,2014,420933,10005,12107,4119
12,14-Dec,12,2014,430327,9394,10394,1378
13,15-Jan,1,2015,442045,11718,10449,4971
14,15-Feb,2,2015,456397,14352,13262,9492
15,15-Mar,3,2015,471725,15328,16777,8572
16,15-Apr,4,2015,491628,19903,15646,13564
17,15-May,5,2015,509068,17440,21012,10539
18,15-Jun,6,2015,523515,14447,16824,10697
19,15-Jul,7,2015,541445,17930,20257,10544
20,15-Aug,8,2015,557294,15849,15232,8646
21,15-Sep,9,2015,573116,15822,17099,15187
22,15-Oct,10,2015,590442,17326,21445,14424
23,15-Nov,11,2015,606336,15894,20274,7420
24,15-Dec,12,2015,623264,16928,17062,6750
25,16-Jan,1,2016,635457,12193,15414,11608
26,16-Feb,2,2016,650936,15479,20573,7603
27,16-Mar,3,2016,668558,17622,19074,15497
28,16-Apr,4,2016,683811,15253,14551,13289
29,16-May,5,2016,698285,14474,15033,8126
30,16-Jun,6,2016,712631,14346,15552,11844
31,16-Jul,7,2016,726240,13609,52314,46468
32,16-Aug,8,2016,741480,15240,18638,10152
33,16-Sep,9,2016,749542,8062,7120,3727
